valor_origen,valor_canonico,accion,confianza,nota
Alerce,Alerce,sin_cambio,alta,Sin observaciones
Araucaria,Araucaria,sin_cambio,alta,Sin observaciones
Ciprés de la Cordillera,Ciprés de la Cordillera,sin_cambio,alta,Sin observaciones
Ciprés de las Guaitecas,Ciprés de las Guaitecas,sin_cambio,alta,Sin observaciones
Coihue de Magallanes,Coihue de Magallanes,sin_cambio,alta,Sin observaciones
Coihue-Raulí-Tepa,Coihue-Raulí-Tepa,sin_cambio,alta,Sin observaciones
Esclerófilo,Esclerófilo,sin_cambio,alta,Sin observaciones
Lenga,Lenga,sin_cambio,alta,Sin observaciones
No Aplica,No Aplica,sin_cambio,alta,Sin observaciones
Palma Chilena,Palma Chilena,sin_cambio,alta,Sin observaciones
Roble-Hualo,Roble-Hualo,sin_cambio,alta,Sin observaciones
Roble-Raulí-Coihue,Roble-Raulí-Coihue,sin_cambio,alta,Sin observaciones
Siempreverde,Siempreverde,sin_cambio,alta,Sin observaciones
